Спагетти Болоньезе,25,классическое итальянское блюдо с сытным томатным соусом.
Креветки Альфредо,15,"сливочное блюдо из пасты, приготовленное из креветок, масла и сыра пармезан."
Жареный рис,20,"китайское блюдо, приготовленное из вареного риса, овощей и различных соусов."
Цыпленок Тикка Масала,25,"индийское блюдо с курицей, приготовленной в сливочно-томатном соусе."
Пастуший пирог,45,сытное британское блюдо с картофельным пюре.
Бефстроганов,30,русское блюдо из говядины с грибами в сливочном соусе.
Овощное карри,25,"индийское блюдо из различных овощей, приготовленных в ароматном соусе."
Куриный фахитас,15,"мексиканское блюдо с жареным цыпленком и овощами, подается в тортилье."
Пад Тай,25,"тайское блюдо, приготовленное из лапши, овощей и кисло-сладкого соуса."
Лосось Терияки,20,японское блюдо с лососем на гриле в кисло-сладком соусе.
Макароны с сыром,30,американская классика со сливочно-сырным соусом.
Тако,20,мексиканское блюдо с приправленной говядиной или курицей в хрустящей корочке.
Чили,45,американское блюдо с разнообразными бобами и специями.
Запеченный Зити,45,"итальянское блюдо с пастой, сыром и томатным соусом."
Пицца,25,итальянское блюдо с разнообразными начинками на тонком тесте.
Говядина и брокколи,20,китайское блюдо с жареной говядиной и брокколи в ароматном соусе.
Фаршированные перцы,45,"средиземноморское блюдо из болгарского перца, фаршированного рисом и овощами."
Сэндвич с сыром на гриле,10,классический американский сэндвич с сыром и маслом на поджаренном хлебе.
Курица Альфредо,25,итальянское блюдо с курицей и фетучини в сливочном соусе.
